Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Animal Source]	Characteristics[Genotype]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Characteristics[Age at Launch]	Unit	Term Source REF	Term Accession Number	Characteristics[Sex]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[habitat]	Parameter Value[duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[light cycle]	Parameter Value[Enrichment material]	Term Source REF	Term Accession Number	Parameter Value[diet]	Parameter Value[Feeding Schedule]	Protocol REF	Parameter Value[Euthanasia Method]	Parameter Value[Age at Euthanasia]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Body Weight upon Euthanasia]	Unit	Term Source REF	Term Accession Number	Comment[Euthanasia Date]	Comment[Source Description]	Comment[ALSDA Subject ID]	Comment[RFID (last 4 digit)]
RR-23_GC1	RR23_R-EDL_GC_G1_techrep1	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Right extensor digitorum longus	FMA	http://purl.org/sig/ont/fma/fma22548	Ground Control	OSD	https://osdr.nasa.gov/	16-17	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light: 12 h dark. Lights on at 7:00 GMT	Hut	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture, Inhalation of Isoflurane	22-23	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	32.9	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	14-Jan-2021	Live animal return	741	4534
RR-23_GC1	RR23_R-EDL_GC_G1_techrep2	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Right extensor digitorum longus	FMA	http://purl.org/sig/ont/fma/fma22548	Ground Control	OSD	https://osdr.nasa.gov/	16-17	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light: 12 h dark. Lights on at 7:00 GMT	Hut	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture, Inhalation of Isoflurane	22-23	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	32.7	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	17-Jan-2021	Live animal return	766	487E
RR-23_GC2	RR23_R-EDL_GC_G2	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Right extensor digitorum longus	FMA	http://purl.org/sig/ont/fma/fma22548	Ground Control	OSD	https://osdr.nasa.gov/	16-17	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light: 12 h dark. Lights on at 7:00 GMT	Hut	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture, Inhalation of Isoflurane	22-23	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	32.7	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	17-Jan-2021	Live animal return	766	487E
RR-23_GC3	RR23_R-EDL_GC_G3	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Right extensor digitorum longus	FMA	http://purl.org/sig/ont/fma/fma22548	Ground Control	OSD	https://osdr.nasa.gov/	16-17	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light: 12 h dark. Lights on at 7:00 GMT	Hut	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture, Inhalation of Isoflurane	22-23	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	32.7	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	17-Jan-2021	Live animal return	766	487E
RR-23_GC4	RR23_R-EDL_GC_G4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Right extensor digitorum longus	FMA	http://purl.org/sig/ont/fma/fma22548	Ground Control	OSD	https://osdr.nasa.gov/	16-17	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light: 12 h dark. Lights on at 7:00 GMT	Hut	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture, Inhalation of Isoflurane	22-23	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	30.9	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	17-Jan-2021	Live animal return	766	4024
RR-23_GC5	RR23_R-EDL_GC_G5	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Right extensor digitorum longus	FMA	http://purl.org/sig/ont/fma/fma22548	Ground Control	OSD	https://osdr.nasa.gov/	16-17	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light: 12 h dark. Lights on at 7:00 GMT	Hut	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture, Inhalation of Isoflurane	22-23	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	34.1	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	17-Jan-2021	Live animal return	766	7F5B
RR-23_GC6	RR23_R-EDL_GC_G6	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Right extensor digitorum longus	FMA	http://purl.org/sig/ont/fma/fma22548	Ground Control	OSD	https://osdr.nasa.gov/	16-17	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light: 12 h dark. Lights on at 7:00 GMT	Hut	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture, Inhalation of Isoflurane	22-23	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	33.7	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	17-Jan-2021	Live animal return	766	566F
RR-23_GC7	RR23_R-EDL_GC_G7	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Right extensor digitorum longus	FMA	http://purl.org/sig/ont/fma/fma22548	Ground Control	OSD	https://osdr.nasa.gov/	16-17	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light: 12 h dark. Lights on at 7:00 GMT	Hut	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture, Inhalation of Isoflurane	22-23	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	35.2	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	17-Jan-2021	Live animal return	766	542A
RR-23_GC8	RR23_R-EDL_GC_G8	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Right extensor digitorum longus	FMA	http://purl.org/sig/ont/fma/fma22548	Ground Control	OSD	https://osdr.nasa.gov/	16-17	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light: 12 h dark. Lights on at 7:00 GMT	Hut	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture, Inhalation of Isoflurane	22-23	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	37.9	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	17-Jan-2021	Live animal return	766	2077
RR-23_GC9	RR23_R-EDL_GC_G9	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Right extensor digitorum longus	FMA	http://purl.org/sig/ont/fma/fma22548	Ground Control	OSD	https://osdr.nasa.gov/	16-17	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light: 12 h dark. Lights on at 7:00 GMT	Hut	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture, Inhalation of Isoflurane	22-23	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	32.5	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	17-Jan-2021	Live animal return	766	554D
